SKU,PRODUCTO,VALOR,SKU_STR
8000010000000,Plumón 2 Plazas Mendoza Ice,16.710,8000010000000
8000010000000,Plumón 2 Plazas Mendoza Taupe,16.710,8000010000000
8000010000000,Plumón 2 Plazas Mendoza Rosado,16.710,8000010000000
8000010000000,Plumón 2 Plazas Microfibra Estampado Zigzag,16.710,8000010000000
8000010000000,Plumón 2 Plazas Microfibra Estampado Lineal,16.710,8000010000000
8000010000000,Plumón 2 Plazas Microfibra Estampado Rombos,17.227,8000010000000
8000010000000,Plumón 2 Plazas Microfibra Estampado Hojas,17.227,8000010000000
800001000000,Plumón 2 Plazas Microfibra Estampado Oval,17.227,800001000000
8000010000000,Plumón 2 Plazas Microfibra Estampado Lirada,17.227,8000010000000
8000010000000,Plumón Coral Sherpa 1.5 Plazas Rosa Palo,18.403,8000010000000
8000010000000,Plumón Coral Sherpa 1.5 Plazas Azul,18.403,8000010000000
8000010000000,Plumón Coral Sherpa 1.5 Plazas Beige,18.403,8000010000000
8000010000000,Plumón Coral Sherpa 1.5 Plazas Calipso,18.403,8000010000000
8000010000000,Plumón Coral Sherpa 1.5 Plazas Burdeo,18.403,8000010000000
8000010000000,Plumón Coral Sherpa 1.5 Plazas Gris,18.403,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Azul,23.109,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Rosa Palo,23.109,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Beige,23.109,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Calipso,23.109,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Burdeo,23.109,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Gris,23.109,8000010000000
8000010000000,Plumón Coral Sherpa King Burdeo,24.916,8000010000000
8000010000000,Plumón Coral Sherpa King Gris,24.916,8000010000000
8000010000000,Plumón Coral Sherpa King Azul,24.916,8000010000000
8000010000000,Plumón Coral Sherpa King Beige,24.916,8000010000000
8000010000000,Plumón Coral Sherpa King Rosa Palo,24.916,8000010000000
8000010000000,Plumón King Mendoza Rosado,19.244,8000010000000
8000010000000,Plumón King Mendoza Ice,19.244,8000010000000
8000010000000,Plumón King Microfibra Estampado Lineal,19.244,8000010000000
8000010000000,Plumón King Microfibra Estampado Zigzag,19.244,8000010000000
8000010000000,Plumón Sherpa/Sherpa 1.5 Plazas Coral-Gris,18.471,8000010000000
8000010000000,Plumón Sherpa/Sherpa 1.5 Plazas Petroleo-Mostaza,18.471,8000010000000
8000010000000,Plumón Sherpa/Sherpa 1.5 Plazas Negro-Gris,18.471,8000010000000
8000010000000,Plumón Coral Sherpa 2 Plazas Print Baysan,18.471,8000010000000
8000010000000,Plumón Sherpa/Sherpa 2 Plazas Negro-gris,21.555,8000010000000
8000010000000,Plumón Sherpa/Sherpa 2 Plazas Petroleo-Mostaza,21.555,8000010000000
8000010000000,Plumón Sherpa/Sherpa 2 Plazas Coral-Rosa,21.555,8000010000000
8000010000000,Plumón Sherpa/Sherpa King Petroleo-Mostaza,23.319,8000010000000
8000010000000,Plumón Sherpa/Sherpa King Negro-Gris,23.319,8000010000000
8000010000000,Plumón Sherpa/Sherpa King Coral-Rosa,23.319,8000010000000
8000010000000,Quilt 1.5 Plazas Bicolor Liso Celeste/Azul,7.983,8000010000000
8000010000000,Quilt 1.5 Plazas Bicolor Liso Amarillo/Turquesa,7.983,8000010000000
8000010000000,Quilt 1.5 Plazas Bicolor Liso Arena/Marengo,7.983,8000010000000
8000010000000,Quilt 1.5 Plazas Bicolor Liso Gris/Coral,7.983,8000010000000
800001000000,Quilt 1.5 Plazas Bicolor Liso Negro/Mostaza,7.983,800001000000
8000010000000,Quilt 1.5 Plazas Bicolor Liso Gris/Rosado,7.983,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Safari,7.983,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Faces,7.983,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Goose,4.370,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Kailua,4.370,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Mosa,4.370,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Murray,4.370,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Estampado Namoi,4.370,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Gris,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Celeste,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Lila,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Mostaza,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Rosado,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Turquesa,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cordoba Liso Fucsia,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Angel,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Arrow,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Clouds,11.756,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Clouds Estampado Rodrigo,8.044,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Patchwork Aries,11.756,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Patchwork Geminis,11.756,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Patchwork Leo,11.756,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Patchwork Piscis,11.756,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Patchwork Virgo,11.756,8000010000000
8000010000000,Quilt 1.5 Plazas Cosido Trapecio,7.227,8000010000000
8000010000000,Quilt 1.5 Plazas Madrid Arena,3.588,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Estampado Circle,5.529,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Estampado Indo,5.529,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Estampado Loa,5.529,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Estampado Rodano,5.529,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Estampado Solei,5.529,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Gris-Amarillo,5.168,8000010000000
8000010000000,Quilt 1.5 Plazas Microfibra Terracota-Coral,5.147,8000010000000
8000010000000,Quilt 1.5 Plazas Portugal Estampado Gardenia,8.008,8000010000000
8000010000000,Quilt 1.5 Plazas Portugal Estampado Ginger,8.008,8000010000000
8000010000000,Quilt 1.5 Plazas Portugal Estampado Lilium,8.008,8000010000000
8000010000000,Quilt 2 Plazas Bicolor Liso Arena/Marengo,8.067,8000010000000
8000010000000,Quilt 2 Plazas Bicolor Liso Amarillo/Turquesa,8.067,8000010000000
8000010000000,Quilt 2 Plazas Bicolor Liso Celeste/Azul,8.067,8000010000000
8000010000000,Quilt 2 Plazas Bicolor Liso Gris/Coral,8.067,8000010000000
800001000000,Quilt 2 Plazas Bicolor Liso Negro/Mostaza,8.067,800001000000
8000010000000,Quilt 2 Plazas Bicolor Liso Gris/Rosado,8.067,8000010000000
8000010000000,Quilt 2 Plazas Cordoba Estampado Safari,8.067,8000010000000
